Vocabulario;Tuplas;Etiquetas;Repeticiones;rdf:Property;rdf:rest;rdf:first;rdf:value;rdf:Seq;rdf:List;rdf:subject;rdf:object;rdf:predicate;rdf:Statement;rdf:Bag;rdf:type;rdfs:label;rdfs:comment;rdfs:subClassOf;rdfs:seeAlso;rdfs:range;rdfs:subPropertyOf;rdfs:isDefinedBy;rdfs:domain;rdfs:Class;rdfs:Datatype;rdfs:Resource;rdfs:ContainerMembershipProperty;owl:sameAs;owl:Ontology;owl:Class;owl:DatatypeProperty;owl:ObjectProperty;owl:Thing;owl:versionInfo;owl:AnnotationProperty;owl:inverseOf;owl:equivalentClass;owl:onProperty;owl:Restriction;owl:FunctionalProperty;owl:SymmetricProperty;owl:disjointWith;owl:unionOf;owl:TransitiveProperty;owl:NamedIndividual;owl:allValuesFrom;owl:equivalentProperty;owl:cardinality;owl:someValuesFrom;owl:InverseFunctionalProperty;owl:maxCardinality;owl:hasValue;owl:minCardinality;owl:intersectionOf;owl:oneOf;owl:distinctMembers;owl:AllDifferent;owl:onClass;owl:deprecated;owl:differentFrom;owl:AsymmetricProperty;owl:qualifiedCardinality;owl:minQualifiedCardinality;owl:IrreflexiveProperty;owl:complementOf;owl:annotatedTarget;owl:DeprecatedProperty;owl:DeprecatedClass;owl:AllDisjointClasses;owl:members;owl:ReflexiveProperty;owl:onDatatype;owl:withRestrictions;owl:priorVersion;owl:DataRange;owl:disjointUnionOf;owl:hasSelf;owl:onDataRange;owl:propertyDisjointWith;owl:maxQualifiedCardinality;owl:propertyChainAxiom;
a-loc;1692;28;1827;[0, 0, 0];[0, 6, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 254, 0];[0, 260, 0];[0, 261, 0];[0, 78, 0];[0, 0, 0];[0, 82, 0];[0, 42, 0];[0, 128, 0];[0, 82, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 50];[0, 0, 18];[0, 0, 81];[0, 0, 14];[0, 260, 0];[0, 0, 7];[0, 34, 0];[0, 0, 0];[0, 42, 0];[0, 0, 42];[0, 0, 4];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 25];[0, 15, 0];[0, 0, 0];[0, 0, 0];[0, 27, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];
ac;169;3;4;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 1, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
acco;484;18;552;[0, 0, 0];[0, 58, 0];[0, 58, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 85, 0];[0, 53, 0];[0, 53, 0];[0, 23, 0];[0, 0, 0];[0, 26, 0];[0, 19, 0];[0, 52, 0];[0, 32, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 34];[0, 0, 13];[0, 0, 19];[0, 0, 6];[0, 1, 0];[0, 0, 7];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 12, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
acl;92;11;112;[0, 0, 12];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 20, 0];[0, 19, 0];[0, 20, 0];[0, 6, 0];[0, 2, 1];[0, 10, 0];[0, 1, 0];[0, 0, 0];[0, 10, 0];[0, 0, 11];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
acrt;106;13;74;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 12, 0];[0, 8, 0];[0, 9, 0];[0, 0, 0];[0, 8, 0];[0, 5, 0];[0, 0, 0];[0, 9, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 1];[0, 0, 0];[0, 0, 7];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
adms;142;14;148;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 24, 0];[0, 20, 0];[0, 19, 0];[0, 0, 0];[0, 0, 0];[0, 14, 0];[0, 3, 0];[0, 18, 0];[0, 14, 0];[0, 0, 0];[0, 0, 0];[0, 0, 15];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 4];[0, 0, 3];[0, 0, 11];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
af;375;20;370;[0, 0, 6];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 80, 0];[0, 60, 0];[0, 63, 0];[0, 45, 0];[0, 0, 0];[0, 12, 0];[0, 11, 0];[0, 0, 0];[0, 15, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 46];[0, 0, 9];[0, 0, 7];[0, 0, 5];[0, 1, 0];[0, 0, 1];[0, 0, 0];[0, 1, 0];[0, 2, 0];[0, 0, 2];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
agrelon;1505;26;1546;[0, 0, 83];[0, 2, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 267, 0];[0, 525, 0];[0, 133, 0];[0, 47, 0];[0, 69, 0];[0, 1, 0];[0, 72, 0];[0, 131, 0];[0, 2, 0];[0, 0, 48];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 1];[0, 0, 48];[0, 0, 4];[0, 0, 55];[0, 0, 0];[0, 1, 0];[0, 0, 1];[0, 22, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 22];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 5, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];
amlo-core;1239;36;1412;[0, 0, 0];[0, 12, 0];[0, 12, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 347, 0];[0, 154, 0];[0, 155, 0];[0, 156, 0];[0, 6, 0];[0, 11, 0];[0, 17, 0];[0, 4, 0];[0, 17, 0];[0, 0, 0];[0, 0, 3];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 107];[0, 0, 27];[0, 0, 20];[0, 0, 0];[0, 1, 0];[0, 0, 11];[0, 0, 0];[0, 2, 0];[0, 70, 0];[0, 0, 70];[0, 0, 9];[0, 0, 0];[0, 2, 0];[0, 5, 0];[0, 0, 0];[0, 0, 50];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 9, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 40, 0];[0, 13, 0];[0, 0, 0];[0, 0, 0];[1, 45, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 16, 0];[0, 0, 0];[0, 12, 0];[0, 0, 0];
ao;115;16;112;[0, 0, 11];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 19, 0];[0, 16, 0];[0, 14, 0];[0, 2, 0];[0, 0, 0];[0, 2, 0];[0, 12, 0];[0, 14, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 1];[0, 0, 0];[0, 0, 6];[0, 0, 4];[0, 1, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
aos;1827;16;1174;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 117, 0];[0, 0, 5];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 390, 0];[0, 376, 0];[0, 17, 0];[0, 19, 0];[0, 0, 0];[0, 49, 0];[0, 37, 0];[0, 0, 0];[0, 49, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 5, 0];[0, 0, 1];[0, 0, 39];[0, 0, 0];[0, 0, 47];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 8, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 14, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
arco;727;24;823;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 100, 0];[0, 118, 0];[0, 118, 0];[0, 27, 0];[0, 0, 0];[0, 46, 0];[0, 18, 0];[0, 58, 0];[0, 46, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 31];[0, 0, 6];[0, 0, 45];[0, 0, 46];[0, 112, 0];[0, 0, 10];[0, 20, 0];[0, 4, 0];[0, 4, 0];[0, 0, 4];[0, 0, 1];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 2];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
arp;1613;28;2100;[0, 0, 0];[0, 29, 0];[0, 29, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 491, 0];[0, 315, 0];[0, 35, 0];[0, 97, 0];[0, 0, 0];[0, 231, 0];[0, 16, 0];[0, 0, 0];[0, 231, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 113];[0, 0, 127];[0, 0, 105];[2, 0, 1];[0, 1, 0];[0, 0, 1];[0, 28, 0];[0, 0, 0];[0, 3, 0];[0, 0, 3];[0, 0, 0];[0, 0, 1];[0, 2, 0];[0, 14, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 71];[0, 3, 0];[0, 0, 0];[0, 0, 69];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 78, 0];[0, 0, 0];[0, 0, 0];
atd;777;26;941;[0, 0, 2];[0, 65, 0];[0, 65, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 169, 0];[0, 92, 0];[0, 93, 0];[0, 59, 0];[0, 1, 0];[0, 71, 0];[0, 2, 0];[0, 0, 0];[0, 72, 0];[0, 0, 0];[0, 0, 14];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 21];[0, 0, 51];[0, 0, 15];[0, 0, 1];[0, 1, 0];[0, 0, 0];[0, 4, 0];[0, 0, 0];[0, 34, 0];[0, 0, 34];[0, 0, 26];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 24, 0];[0, 0, 0];[0, 7, 0];[0, 0, 0];[0, 0, 0];[0, 3, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 14, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
atm;1272;22;1586;[0, 0, 0];[0, 89, 0];[0, 89, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 307, 0];[0, 162, 0];[0, 165, 0];[0, 103, 0];[0, 0, 0];[0, 116, 0];[0, 0, 0];[0, 0, 0];[0, 116, 0];[0, 0, 0];[0, 0, 17];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 54];[0, 0, 53];[0, 0, 63];[0, 0, 8];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 50, 0];[0, 0, 50];[0, 0, 69];[0, 0, 0];[0, 0, 0];[0, 6, 0];[0, 0, 0];[0, 0, 0];[0, 38, 0];[0, 0, 0];[0, 12, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 17, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
atts;206;20;265;[0, 0, 0];[0, 2, 0];[0, 2, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 53, 0];[0, 32, 0];[0, 38, 0];[0, 22, 0];[0, 0, 0];[0, 21, 0];[0, 2, 0];[0, 0, 0];[0, 22, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 17];[0, 0, 15];[0, 0, 7];[0, 0, 6];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 5, 0];[0, 0, 5];[0, 0, 8];[0, 0, 0];[0, 0, 0];[0, 1, 0];[0, 0, 0];[0, 0, 0];[0, 5, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
aws;989;16;1175;[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 258, 0];[1, 93, 0];[1, 54, 0];[0, 231, 0];[1, 1, 0];[0, 0, 0];[0, 0, 0];[1, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 1];[0, 0, 104];[0, 0, 0];[0, 0, 1];[0, 0, 0];[0, 0, 0];[0, 0, 14];[0, 0, 0];[0, 0, 0];[0, 138, 0];[0, 0, 138];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 138, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
bag;3708;14;1000;[0, 0, 54];[0, 4, 0];[0, 4, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 288, 19];[0, 300, 18];[0, 166, 0];[0, 21, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 20, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 9];[0, 0, 43];[0, 0, 38];[0, 0, 16];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];[0, 0, 0];
